név,értékelés,wikipedia
A Bárány Szektája,4.2,https://en.wikipedia.org/wiki/Cult_of_the_Lamb
Alsómese,4.9,https://en.wikipedia.org/wiki/Undertale
Baba vagy Te,4.1,https://en.wikipedia.org/wiki/Baba_Is_You
Birodalmak Kora II: Végleges Kiadás,3.9,https://en.wikipedia.org/wiki/Age_of_Empires_II:_Definitive_Edition
Felezési Idő 2,3.75,https://en.wikipedia.org/wiki/Half-Life_2
Férgek Világvége,4.55,https://en.wikipedia.org/wiki/Worms_Armageddon
Kóbor,4.1,https://en.wikipedia.org/wiki/Stray_(video_game)
Kupac Lélek,4.3,https://en.wikipedia.org/wiki/Katamari_Damacy
Külső Vadak,5,https://en.wikipedia.org/wiki/Outer_Wilds
Növények kontra Zombik,4.2,https://en.wikipedia.org/wiki/Plants_vs._Zombies
Pohárfej,3.4,https://en.wikipedia.org/wiki/Cuphead
Szellem Trükk: Fantom Detektív,4.8,https://en.wikipedia.org/wiki/Ghost_Trick:_Phantom_Detective
Utasíts & Hódíts: Jurij Bosszúja,4.4,https://en.wikipedia.org/wiki/Command_%26_Conquer:_Yuri%27s_Revenge
Üreges Lovag,4.8,https://en.wikipedia.org/wiki/Hollow_Knight
Üreges Lovag: Selyemdal,4.5,https://en.wikipedia.org/wiki/Hollow_Knight:_Silksong
Vámpír Túlélők,4.3,https://en.wikipedia.org/wiki/Vampire_Survivors